"state","year","NDVI_mean","NDVI_median_min","NDVI_median_max","NDVI_stdDev","EVI_mean","EVI_median_min","EVI_median_max","EVI_stdDev","MVI_mean","MVI_median_min","MVI_median_max","MVI_stdDev","total_pixels","districts_analyzed","AGB_Mg_ha","BGB_Mg_ha","Total_Biomass_Mg_ha","Carbon_Stock_Density_MgC_ha"
"Tamil Nadu",2008,0.491814792,0.259604432,0.652611973,0.185543525,0.295757445,0.137112091,0.365301979,0.130445627,9.802097164,2.20219138,29.7,23.80354689,43685,8,76.6326866725,37.550016469525,114.182703142025,53.6658704767517
"West Bengal",2008,0.595926335,0.369380695,0.660099762,0.11210727,0.335341131,0.217929,0.388682842,0.074685591,10.67002296,1.610132541,6.960153508,11.17307735,2449196,3,88.9234211755,43.572476375995,132.495897551495,62.2730718492026
"Andaman and Nicobar Islands",2008,0.733031181,0.364820942,0.785226797,0.28514127,0.420660895,0.246325642,0.45124856,0.142672461,11.18193864,2.868489936,7.037502722,18.98089271,654479,3,115.4152078975,56.553451869775,171.968659767275,80.8252700906192
"Dadra and Nagar Haveli and Daman and Diu",2008,0.18044782,0.165547768,0.510796975,0.107823507,0.081084712,0.072142214,0.246612369,0.066539544,13.62988683,2.7873585,4.250200098,8.333423036,8665,2,9.976803076,4.88863350724,14.86543658324,6.9867551941228
"Puducherry",2008,0.489441025,0.494124111,0.494124111,0.17237051,0.287650073,0.267270863,0.267270863,0.128338649,4.079323378,2.22928474,2.22928474,9.667500601,4190,1,74.1153476665,36.316520356585,110.431868023085,51.9029779708499
"Andhra Pradesh",2009,0.549635294,0.264417153,0.652402918,0.146936895,0.358157664,0.133992956,0.451195593,0.113056567,10.68153838,2.491882593,13.60131663,21.91454322,503653,5,96.007954672,47.04389778928,143.05185246128,67.2343706568016
"Goa",2009,0.482470239,0.511663578,0.511740153,0.173324555,0.251504145,0.251994823,0.259761251,0.12138867,10.07296396,3.431647309,4.480927883,18.27078298,49914,2,62.8920370225,30.817098141025,93.709135163525,44.0432935268568
"Gujarat",2009,0.241076938,0.166011753,0.355040326,0.119318806,0.131007652,0.072128421,0.189881423,0.07020923,10.75572089,1.383775389,7.472521314,11.12458315,268450,13,25.477875946,12.48415921354,37.96203515954,17.8421565249838
"Karnataka",2009,0.401659097,0.394333809,0.525007386,0.160541955,0.204646161,0.181595288,0.276366708,0.102419501,10.63005289,2.485539689,7.461752244,23.27718525,35541,3,48.3426329905,23.687890165345,72.030523155845,33.8543458832471
"Kerala",2009,0.506437062,0.501859013,0.626172781,0.126139569,0.268391058,0.224674256,0.37219511,0.098553065,12.46801538,2.788351254,6.503566687,18.4531266,18327,9,68.135423509,33.38635751941,101.52178102841,47.7152370833527
"Maharashtra",2009,0.365897799,0.236260615,0.519565255,0.139047931,0.179168266,0.103462649,0.255804157,0.084442096,5.665625163,1.418952632,5.491836988,12.53174166,394599,7,40.431746593,19.81155583057,60.24330242357,28.3143521390779
"Odisha",2009,0.504011906,0.349141917,0.563973813,0.127459144,0.315868059,0.178513851,0.376895328,0.096997472,6.345270938,3.443858992,7.578990223,22.63465308,242312,5,82.8770323195,40.609745836555,123.486778156055,58.0387857333458
"Tamil Nadu",2009,0.478575342,0.303392666,0.636884026,0.168131574,0.291682159,0.161656301,0.357200953,0.124729033,9.701551518,2.216494549,5.525441728,22.07897035,44995,8,75.3673103695,36.929982081055,112.297292450555,52.7797274517608
"West Bengal",2009,0.528215945,0.276427664,0.595962067,0.084673269,0.308096866,0.167197578,0.336954383,0.057472096,30.5084383,2.116039398,12.95552424,20.8990099,2449196,3,80.464076893,39.42739767757,119.89147457057,56.3489930481679
"Andaman and Nicobar Islands",2009,0.731171118,0.503685983,0.777433613,0.175827878,0.406362588,0.254022593,0.435555567,0.139099677,9.97521223,2.886568334,7.507169827,15.48552215,660853,3,110.975583574,54.37803595126,165.35361952526,77.7162011768722
"Dadra and Nagar Haveli and Daman and Diu",2009,0.231850457,0.208857758,0.473876122,0.121556775,0.099129897,0.08693888,0.234591286,0.073362213,6.859322707,2.223371169,3.236259229,6.854178717,8665,2,15.5798330185,7.634118179065,23.213951197565,10.9105570628556
"Puducherry",2009,0.443223213,0.439451897,0.439451897,0.150688022,0.277447181,0.255751383,0.255751383,0.121627665,5.787876817,2.459845447,2.459845447,13.90025976,4190,1,70.9473497005,34.764201353245,105.711551053745,49.6844289952601
"Andhra Pradesh",2010,0.554857198,0.20901975,0.628938002,0.164094502,0.344080429,0.080200884,0.412130906,0.116104066,12.28249991,4.422814043,6.932351564,23.29842112,503705,5,91.6369732045,44.902116870205,136.539090074705,64.1733723351114
"Goa",2010,0.505988332,0.511740895,0.529252461,0.165039254,0.296422681,0.29881142,0.302570415,0.122237963,9.373000205,3.405150345,3.472603807,18.38322445,44655,2,76.8392424505,37.651228800745,114.490471251245,53.8105214880852
"Gujarat",2010,0.261123652,0.173902723,0.412559918,0.122890775,0.140494914,0.076174137,0.223675248,0.071917244,8.909723045,1.455876901,7.447276118,11.74771723,268439,13,28.423670797,13.92759869053,42.35126948753,19.9050966591391
"Karnataka",2010,0.4617994,0.456785893,0.591987585,0.15676956,0.238062856,0.216731685,0.319328503,0.104228401,10.05258336,2.484118435,5.488209736,21.63535236,34662,3,58.718516788,28.77207322612,87.49059001412,41.1205773066364
"Kerala",2010,0.575735126,0.564266444,0.669908969,0.127145404,0.304196228,0.267610223,0.364872544,0.106752049,13.58442173,3.230334431,6.439421456,19.63288037,18216,9,79.252928794,38.83393510906,118.08686390306,55.5008260344382
"Maharashtra",2010,0.410243644,0.300772193,0.50986604,0.138411471,0.214077317,0.130904362,0.263727951,0.093866891,6.322825877,1.480070072,7.504298035,14.78097629,383070,7,51.2710069285,25.122793394965,76.393800323465,35.9050861520285
"Odisha",2010,0.527116234,0.36979911,0.584032616,0.125538293,0.340425722,0.192259747,0.392757567,0.095403271,7.534425496,4.444522498,7.499314611,20.42558718,242312,5,90.502186681,44.34607147369,134.84825815469,63.3786813327043
"Tamil Nadu",2010,0.47781135,0.368505496,0.574119164,0.157773996,0.28801474,0.2051246,0.357495334,0.1149468,8.765308476,2.234656728,21.86538462,22.59046708,44403,8,74.22857677,36.3720026173,110.6005793873,51.982272312031
"West Bengal",2010,0.565923682,0.318557734,0.615295583,0.098235302,0.319302699,0.180576107,0.353556844,0.0634978,13.09330004,1.613571606,6.986649616,14.30001745,2449196,3,83.9434880395,41.132309139355,125.075797178855,58.7856246740619
"Andaman and Nicobar Islands",2010,0.763137118,0.550690713,0.816420222,0.172568441,0.418133935,0.308964259,0.447280404,0.144999453,8.641940451,2.913841479,6.960532742,13.32586332,660573,3,114.6305868175,56.168987540575,170.799574358075,80.2757999482952
"Dadra and Nagar Haveli and Daman and Diu",2010,0.229103369,0.212928553,0.5229227,0.114740707,0.097334664,0.088059603,0.274281376,0.071970071,12.19079208,3.220077265,4.013565891,8.713740536,8665,2,15.022413172,7.36098245428,22.38339562628,10.5201959443516
"Puducherry",2010,0.446470276,0.443442182,0.443442182,0.160656608,0.278093696,0.259779239,0.259779239,0.125266915,6.850970558,3.502801753,3.502801753,16.08363464,4190,1,71.148092608,34.86256537792,106.01065798592,49.8250092533824
"Andhra Pradesh",2011,0.595244838,0.200955396,0.707007898,0.16864956,0.395164642,0.083855907,0.482460054,0.133901795,17.05763613,5.022659927,20.42638889,31.08847238,503004,5,107.498621341,52.67432445709,160.17294579809,75.2812845251023
"Goa",2011,0.611932613,0.652364315,0.66028286,0.168071921,0.299975275,0.306754746,0.314539267,0.125519494,5.574181384,3.423187085,3.493122166,10.7234292,47328,2,77.9423228875,38.191738214875,116.134061102375,54.5830087181162
"Gujarat",2011,0.305720816,0.206942608,0.552677905,0.140883761,0.163343978,0.083951488,0.291760098,0.084689054,11.3703068,1.227464691,13.48486895,11.40127013,268331,13,35.518305169,17.40396953281,52.92227470181,24.8734691098507
"Karnataka",2011,0.552886292,0.566386676,0.638639945,0.167495738,0.257885677,0.24005781,0.313959499,0.111136695,8.941455804,2.486456031,5.489130696,20.03502184,30641,3,64.8735027085,31.788016327165,96.661519035665,45.4309139467625
"Kerala",2011,0.621442393,0.566930333,0.743983063,0.139075974,0.332271305,0.279598301,0.397578634,0.112903664,12.69898948,2.502796607,5.310472385,24.44178007,11683,5,87.9702402025,43.105417699225,131.075657901725,61.6055592138107
"Maharashtra",2011,0.444114819,0.347895216,0.636802852,0.149034469,0.219058886,0.146566031,0.298873946,0.095801705,6.564592183,1.46545841,4.875577664,13.65772467,389926,7,52.817784103,25.88071421047,78.69849831347,36.9882942073309
"Odisha",2011,0.53990484,0.477969716,0.638459413,0.1367644,0.335262539,0.252982319,0.427680883,0.103031234,6.416936335,3.438642761,7.410080225,18.23173453,242312,5,88.8990183595,43.560518996155,132.459537355655,62.2559825571579
"Tamil Nadu",2011,0.517906812,0.404204943,0.652435742,0.174415984,0.318721877,0.216746864,0.376998922,0.132349952,14.65439634,2.757926639,8.508216176,28.04339247,44794,8,83.7631428085,41.043939976165,124.807082784665,58.6593289087925
"West Bengal",2011,0.553944193,0.334311399,0.580014061,0.09752691,0.321186004,0.186508142,0.338915802,0.06716639,14.29037616,1.859097422,8.486056225,14.25708363,2449196,3,84.528254242,41.41884457858,125.94709882058,59.1951364456726
"Andaman and Nicobar Islands",2011,0.783948247,0.633396435,0.832087181,0.18549302,0.432279428,0.352666419,0.466806334,0.659089261,7.867345401,2.640512007,6.995282063,14.48554353,638179,3,119.022762394,58.32115357306,177.34391596706,83.3516405045182
"Dadra and Nagar Haveli and Daman and Diu",2011,0.268476057,0.248041976,0.598510699,0.127119965,0.113990912,0.099709011,0.30100869,0.078876963,15.98557698,4.073209456,4.450286596,9.863168906,8665,2,20.194178176,9.89514730624,30.08932548224,14.1419829766528
"Puducherry",2011,0.494233606,0.521764645,0.521764645,0.173619529,0.324463826,0.321888753,0.321888753,0.148159525,7.389536176,4.540710337,4.540710337,13.9524125,4190,1,85.546017973,41.91754880677,127.46356677977,59.9078763864919
"Andhra Pradesh",2012,0.559585052,0.207669365,0.660150091,0.160955933,0.366996391,0.099310793,0.443381288,0.124629632,14.81788067,4.551214222,8.491384804,23.6254987,497915,5,98.7523794055,48.388665908695,147.141045314195,69.1562912976716
"Goa",2012,0.528408696,0.548780992,0.558549581,0.153019473,0.275331054,0.279225492,0.287136174,0.110492953,7.894159821,3.429289642,3.508328762,13.99145964,49872,2,70.290292267,34.44224321083,104.73253547783,49.2242916745801
"Gujarat",2012,0.280552201,0.189466759,0.501622319,0.116913708,0.155955778,0.087734476,0.274815057,0.070732086,9.879807894,1.243006933,5.471966728,11.59242174,267400,13,33.224269069,16.27989184381,49.50416091281,23.2669556290207
"Karnataka",2012,0.447160918,0.441292566,0.533388227,0.138244975,0.230407046,0.208888416,0.283966411,0.093078759,10.50720809,2.482356536,6.474718637,24.16175144,35519,3,56.341387783,27.60728001367,83.94866779667,39.4558738644349
"Kerala",2012,0.560110441,0.501868133,0.669917069,0.119008649,0.311673223,0.275392173,0.366930423,0.101867228,16.28306404,3.460327633,7.440177826,24.06688924,18402,9,81.5745357415,39.971522513335,121.546058254835,57.1266473797725
"Maharashtra",2012,0.39840502,0.285228196,0.533106052,0.125748467,0.197286175,0.126995867,0.275371198,0.077534767,5.144921738,1.467140144,4.481079515,11.01990312,394599,7,46.0573573375,22.568105095375,68.625462432875,32.2539673434513
"Odisha",2012,0.467052203,0.352787927,0.537008063,0.107198515,0.310080169,0.21937059,0.400208811,0.086204076,9.876678736,2.869835468,27.57681822,34.25089846,239258,5,81.0798924745,39.729147312505,120.809039787005,56.7802486998923
"Tamil Nadu",2012,0.489982997,0.423540073,0.587940775,0.150772091,0.323717333,0.232560419,0.385070442,0.119682973,8.742665389,1.438379196,5.231448708,18.81322079,42457,8,85.3142318965,41.803973629285,127.118205525785,59.7455565971189
"West Bengal",2012,0.569053301,0.364868517,0.644473581,0.111084872,0.325434962,0.223412124,0.361340307,0.072922476,15.67647319,2.73551966,8.938394399,15.89984099,2449057,3,85.847555701,42.06530229349,127.91285799449,60.1190432574103
"Andaman and Nicobar Islands",2012,0.789426343,0.644452795,0.832103088,0.167477745,0.452841805,0.378597292,0.478545652,0.142073852,10.48509784,2.980159239,7.042417024,16.67972891,656143,3,125.4073804525,61.449616421725,186.856996874225,87.8227885308857
"Dadra and Nagar Haveli and Daman and Diu",2012,0.236083897,0.216784002,0.545065758,0.113878301,0.1113325,0.102444522,0.283682624,0.066307687,3.527471033,1.241588232,3.517605388,5.088747271,8515,2,19.36874125,9.4906832125,28.8594244625,13.563929497375
"Puducherry",2012,0.467123896,0.478378048,0.478378048,0.174828061,0.28193622,0.271769376,0.271769376,0.132919236,7.885509145,4.543311687,4.543311687,16.24136887,4190,1,72.34119631,35.4471861919,107.7883825019,50.660539775893
"Andhra Pradesh",2013,0.601817731,0.278345334,0.714897022,0.153852534,0.397582238,0.134913577,0.459020826,0.124497345,22.52360124,5.103669457,10.91230674,34.84319058,469760,5,108.249284899,53.04214960051,161.29143449951,75.8069742147697
"Goa",2013,0.537586114,0.574133387,0.581998177,0.176152457,0.279797097,0.287117325,0.290938522,0.12050282,9.679432682,3.439451058,4.491353663,19.27969693,49244,2,71.6769986185,35.121729323065,106.798727941565,50.1954021325355
"Gujarat",2013,0.290157538,0.174183592,0.44735332,0.122105635,0.153613239,0.080145057,0.24521456,0.070650527,6.634208392,1.716678946,3.479420803,10.56161207,268450,13,32.4969107095,15.923486247655,48.420396957155,22.7575865698628
"Karnataka",2013,0.49908092,0.527249962,0.587583385,0.179885239,0.23532145,0.220823666,0.306538735,0.111278292,12.98361607,3.013251646,9.498212692,29.27492467,35401,3,57.867310225,28.35498201025,86.22229223525,40.5244773505675
"Kerala",2013,0.584315273,0.576386605,0.657629679,0.120816911,0.320976776,0.283368169,0.371477163,0.101610923,13.93363818,3.207602613,5.461490368,19.87789781,18279,9,84.463288948,41.38701158452,125.85030053252,59.1496412502844
"Maharashtra",2013,0.427865751,0.316462142,0.556688911,0.14075483,0.208603031,0.134768084,0.279251818,0.08783526,5.848755773,1.486112348,4.487752698,12.37914504,374212,7,49.5712411255,24.289908151495,73.861149276995,34.7147401601876
"Odisha",2013,0.569039853,0.443336946,0.613403273,0.13546156,0.346245228,0.231197182,0.427814188,0.101283694,6.300587591,2.461993884,6.534324879,27.43687412,242169,5,92.309143294,45.23148021406,137.54062350806,64.6440930487882
"Tamil Nadu",2013,0.519171872,0.384669319,0.626927544,0.151080523,0.301600552,0.221009959,0.369187384,0.111503439,9.940313032,1.441312955,7.37826683,25.27338939,44564,8,78.446971396,38.43901598404,116.88598738004,54.9364140686188
"West Bengal",2013,0.538793155,0.345314288,0.587332362,0.122392291,0.319500948,0.225240007,0.341852908,0.06723017,30.96217737,3.221379271,9.481086146,36.96412173,2449196,3,84.005044354,41.16247173346,125.16751608746,58.8287325611062
"Andaman and Nicobar Islands",2013,0.773221558,0.702811267,0.832105086,0.173313043,0.441868811,0.417724514,0.470710167,0.14941222,10.80242725,3.07950898,7.047213545,17.65700189,655136,3,122.0002658155,59.780130249595,181.780396065095,85.4367861505946
"Dadra and Nagar Haveli and Daman and Diu",2013,0.229803034,0.208897282,0.551259055,0.116065755,0.103643903,0.090803528,0.284559263,0.070105591,6.043755696,2.231822032,3.358538122,6.503526069,8665,2,16.9814318815,8.320901621935,25.302333503435,11.8920967466144
"Puducherry",2013,0.474128836,0.48654801,0.48654801,0.169676136,0.291603469,0.279386895,0.279386895,0.123377778,5.425242705,3.515236501,3.515236501,11.48938442,4190,1,75.3428771245,36.918009791005,112.260886915505,52.7626168502873
"Andhra Pradesh",2014,0.647698466,0.302627963,0.748037379,0.159543149,0.395318444,0.10334909,0.458980326,0.117778137,11.27012827,5.008650859,7.727731069,22.84785444,503801,5,107.546376862,52.69772466238,160.24410152438,75.3147277164586
"Goa",2014,0.655234031,0.699284023,0.714898819,0.181073188,0.310636525,0.318102352,0.326187251,0.129173357,5.794033793,3.260203299,3.554568801,10.10642941,49914,2,81.2526410125,39.813794096125,121.066435108625,56.9012245010537
"Gujarat",2014,0.351908828,0.261763596,0.545433135,0.144417096,0.173627959,0.107345823,0.286079681,0.080191964,8.482997118,1.720599261,4.479300802,10.77711109,258917,13,38.7114812695,18.968625822055,57.680107091555,27.1096503330308
"Karnataka",2014,0.561591653,0.582101254,0.637152482,0.171807966,0.253505181,0.244094183,0.310329047,0.108124822,10.31903693,3.029335716,6.512987492,22.1171774,35545,3,63.5133587005,31.121545763245,94.634904463745,44.4784050979602
"Kerala",2014,0.646285293,0.595413177,0.705098814,0.128954699,0.326137569,0.267481785,0.361233443,0.10637722,11.51012251,3.199165168,7.443218721,20.0622722,18404,9,86.0657151745,42.172200435505,128.237915610005,60.2718203367023
"Maharashtra",2014,0.551397171,0.449091808,0.666022042,0.155929667,0.248523774,0.173899728,0.318258997,0.09742986,4.466943782,1.464016702,5.46175938,9.506031137,394599,7,61.966631827,30.36364959523,92.33028142223,43.3952322684481
"Odisha",2014,0.640133752,0.559959548,0.691431202,0.124491358,0.358935757,0.264307711,0.419890731,0.084062007,4.998226967,3.432372051,5.523148984,8.707116595,242312,5,96.2495525485,47.162280748765,143.411833297265,67.4035616497145
"Tamil Nadu",2014,0.536479683,0.400289734,0.738454079,0.167562331,0.315445625,0.209012374,0.408244585,0.116892297,7.809130974,2.719286372,5.531272374,18.71622094,44800,8,82.7458665625,40.545474615625,123.291341178125,57.9469303537187
"West Bengal",2014,0.612665977,0.486279518,0.654325126,0.112091849,0.33838297,0.283117246,0.362328388,0.076852109,13.17589089,1.875727603,8.965212476,11.69899974,2449196,3,89.867912185,44.03527697065,133.90318915565,62.9344989031555
"Andaman and Nicobar Islands",2014,0.827329373,0.710459374,0.878964238,0.177791225,0.459304569,0.402381076,0.486322303,0.150810461,7.595628178,3.086388049,6.953248373,10.84079128,661335,3,127.4140686745,62.432893650505,189.846962325005,89.2280722927523
"Dadra and Nagar Haveli and Daman and Diu",2014,0.32577012,0.310606153,0.712683341,0.142484395,0.128679871,0.119107977,0.366313,0.084907905,8.501970264,2.723344993,4.148763652,8.497421512,8665,2,24.7550999455,12.129998973295,36.885098918795,17.3359964918337
"Puducherry",2014,0.537485059,0.568629387,0.568629387,0.167895533,0.322411713,0.326445672,0.326445672,0.12502945,6.397933836,4.765113836,4.765113836,12.2557754,4190,1,84.9088368865,41.605330074385,126.514166960885,59.4616584716159
"Andhra Pradesh",2015,0.658488062,0.392418853,0.777440011,0.141468492,0.401747974,0.150844711,0.49414705,0.109329804,10.44379899,2.434881024,6.971240093,19.13892065,483561,5,109.542745927,53.67594550423,163.21869143123,76.7127849726781
"Goa",2015,0.674983617,0.722817415,0.738456775,0.155799308,0.320169391,0.333993481,0.353496402,0.119968372,6.063812027,3.508930409,4.438145535,9.35618726,49914,2,84.2125959055,41.264171993695,125.476767899195,58.9740809126217
"Gujarat",2015,0.346923896,0.275403961,0.537201153,0.13833754,0.169336527,0.100507184,0.268418706,0.074352165,11.49107508,1.713266381,6.901997166,10.88393211,267422,13,37.3789916335,18.315705900415,55.694697533915,26.17650784094
"Karnataka",2015,0.604253228,0.620912277,0.674199965,0.15640032,0.283315253,0.275331364,0.330134192,0.107746145,8.741294805,3.015649183,6.497532873,20.44243845,35545,3,72.7693860565,35.656999167685,108.426385224185,50.9604010553669
"Kerala",2015,0.672023295,0.607094944,0.738506143,0.132331611,0.340738756,0.287097067,0.379829283,0.108686615,12.90537528,3.228312506,7.512769706,20.17752129,18404,9,90.599383738,44.39369803162,134.99308176962,63.4467484317214
"Maharashtra",2015,0.543791009,0.410333259,0.714892241,0.14958637,0.246939432,0.162118681,0.322192994,0.093464047,4.539688166,1.48405115,4.508133402,8.821367246,394599,7,61.474693636,30.12259988164,91.59729351764,43.0507279532908
"Odisha",2015,0.678778924,0.615124423,0.72273182,0.124683233,0.389999083,0.317648786,0.439466268,0.093076552,5.543448083,4.932213106,6.762745182,11.18140929,242312,5,105.8947152715,51.888410483035,157.783125754535,74.1580691046315
"Tamil Nadu",2015,0.559395057,0.480542409,0.745994898,0.170282523,0.310262082,0.251938528,0.423735569,0.11940362,8.4384599,2.46707318,6.432926198,20.68659053,44842,8,81.136376461,39.75682446589,120.89320092689,56.8198044356383
"West Bengal",2015,0.578101218,0.443436263,0.626939139,0.105239426,0.320408338,0.259557985,0.349571072,0.071248711,20.84768241,3.369724698,10.95044815,17.89713062,2449196,3,84.286788949,41.30052658501,125.58731553401,59.0260383009847
"Andaman and Nicobar Islands",2015,0.840200023,0.659268811,0.886790473,0.775316763,0.470415162,0.441493883,0.502025868,0.148770716,8.384916302,3.089508021,7.078085054,12.89450733,660567,3,130.863907801,64.12331482249,194.98722262349,91.6439946330403
"Dadra and Nagar Haveli and Daman and Diu",2015,0.325058733,0.308546333,0.669566028,0.137467409,0.128093294,0.115143948,0.335046789,0.07885716,6.143587107,2.39197323,3.858360129,7.430696269,8665,2,24.572967787,12.04075421563,36.61372200263,17.2084493412361
"Puducherry",2015,0.561361246,0.587779778,0.587779778,0.175079865,0.352553002,0.349098255,0.349098255,0.143732166,6.184505108,4.500852994,4.500852994,12.72850761,4190,1,94.267707121,46.19117648929,140.45888361029,66.0156752968363
"Andhra Pradesh",2016,0.659256208,0.450768896,0.738331644,0.134901721,0.39904841,0.189116525,0.466808803,0.101529645,9.051157313,2.729880442,6.817839342,15.23007175,503803,5,108.704531305,53.26522033945,161.96975164445,76.1257832728915
"Goa",2016,0.658216836,0.707150306,0.708978717,0.151312802,0.30977322,0.326218334,0.334103964,0.11302543,5.664084131,3.267709358,3.5344203,8.583977851,49914,2,80.98458481,39.6824465569,120.6670313669,56.713504742443
"Gujarat",2016,0.335394808,0.255769181,0.545377184,0.128344537,0.168429023,0.098603186,0.274398634,0.072196635,9.481632964,1.480674568,5.465245763,10.02160365,268266,13,37.0972116415,18.177633704335,55.274845345835,25.9791773125425
"Karnataka",2016,0.572521859,0.58191272,0.620820532,0.139014323,0.269170495,0.255713773,0.314334383,0.094972553,8.672049798,3.003953597,7.470149955,22.44046413,35545,3,68.3774386975,33.504944961775,101.882383659275,47.8847203198592
"Kerala",2016,0.669143303,0.646588418,0.72053191,0.120131091,0.348461327,0.312463024,0.384802865,0.1021161,14.12627018,3.445198956,7.500796662,22.59970775,18404,9,92.9972420335,45.568648596415,138.565890629915,65.12596859606
"Maharashtra",2016,0.549399433,0.433485591,0.706823874,0.143161997,0.256807776,0.173828091,0.326184844,0.092583342,4.379417064,2.463813806,4.483283348,7.791602297,394599,7,64.538814448,31.62401907952,96.16283352752,45.1965317579344
"Odisha",2016,0.631413053,0.576125295,0.675834894,0.117836506,0.352809739,0.3095106,0.404434299,0.079450205,6.419637506,3.035210649,6.501752973,15.6055991,242279,5,94.3474239595,46.230237740155,140.577661699655,66.0715009988378
"Tamil Nadu",2016,0.550250475,0.480313516,0.732463165,0.158579736,0.32606093,0.259801295,0.423797587,0.117599107,9.522034311,2.891232132,7.482283801,24.74458299,44995,8,86.041918765,42.16054019485,128.20245895985,60.2551557111295
"West Bengal",2016,0.582079848,0.423420978,0.58983717,0.099353296,0.324915358,0.237597907,0.334968662,0.061899595,34.26469826,4.731016231,14.96594066,29.56076018,2449196,3,85.686218659,41.98624714291,127.67246580191,60.0060589268977
"Andaman and Nicobar Islands",2016,0.832257062,0.857898302,0.878996505,0.227793573,0.466559,0.480453077,0.494133744,0.151652549,8.567270186,3.143781201,7.047703744,12.60250857,659722,3,129.6665695,63.536619055,193.203188555,90.80549862085
"Dadra and Nagar Haveli and Daman and Diu",2016,0.327588034,0.3006374,0.645507111,0.137247628,0.135707494,0.119165123,0.313541109,0.075606941,3.586820926,1.526517931,4.027997048,4.867260296,8665,2,26.937176887,13.19921667463,40.13639356163,18.8641049739661
"Puducherry",2016,0.548457053,0.560358968,0.560358968,0.156700016,0.333938705,0.342113319,0.342113319,0.119259202,9.273645184,5.503666859,5.503666859,18.40001333,4190,1,88.4879679025,43.359104272225,131.847072174725,61.9681239221208
"Andhra Pradesh",2017,0.653963599,0.431608277,0.742295037,0.129480992,0.402141521,0.182610956,0.486329235,0.100933788,11.74206533,3.273108902,6.948316751,19.47591777,494735,5,109.6649422705,53.735821712545,163.400763983045,76.7983590720311
"Goa",2017,0.671581944,0.712973451,0.722697001,0.151593792,0.312363987,0.326145932,0.334029183,0.112732038,5.579969245,3.256597881,3.510693978,9.167681027,49914,2,81.7890179635,40.076618802115,121.865636765615,57.276849279839
"Gujarat",2017,0.343470619,0.271547005,0.548918989,0.127583567,0.171224244,0.106444544,0.274395396,0.071492949,6.206476699,1.726771019,3.47710946,8.857314236,266891,13,37.965127762,18.60291260338,56.56804036538,26.5869789717286
